Transported,PassengerId,CryoSleep,Age,VIP,Deck,Num,Side,AmountSpent,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_U,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Destination_U
False,0001_01,0.0,39.0,0.0,1.0,0.0,1.0,0.0,False,True,False,False,False,False,True,False
True,0002_01,0.0,24.0,0.0,5.0,0.0,0.0,736.0,True,False,False,False,False,False,True,False
False,0003_01,0.0,58.0,1.0,0.0,0.0,0.0,10383.0,False,True,False,False,False,False,True,False
False,0003_02,0.0,33.0,0.0,0.0,0.0,0.0,5176.0,False,True,False,False,False,False,True,False
True,0004_01,0.0,16.0,0.0,5.0,1.0,0.0,1091.0,True,False,False,False,False,False,True,False
True,0005_01,0.0,44.0,0.0,5.0,0.0,1.0,774.0,True,False,False,False,False,True,False,False
True,0006_01,0.0,26.0,0.0,5.0,2.0,0.0,1584.0,True,False,False,False,False,False,True,False
True,0006_02,1.0,28.0,0.0,6.0,0.0,0.0,0.0,True,False,False,False,False,False,True,False
True,0007_01,0.0,35.0,0.0,5.0,3.0,0.0,1018.0,True,False,False,False,False,False,True,False
True,0008_01,1.0,14.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False,True,False,False,False
True,0008_02,1.0,34.0,0.0,1.0,1.0,1.0,0.0,False,True,False,False,False,False,True,False
True,0008_03,0.0,45.0,0.0,1.0,1.0,1.0,8157.0,False,True,False,False,True,False,False,False
True,0009_01,0.0,32.0,0.0,5.0,1.0,1.0,1309.0,False,False,True,False,False,False,True,False
False,0010_01,0.0,48.0,0.0,6.0,1.0,0.0,809.0,True,False,False,False,False,False,True,False
True,0011_01,0.0,28.0,0.0,5.0,2.0,1.0,1003.0,True,False,False,False,False,False,True,False
False,0012_01,0.0,31.0,0.0,-1.0,-1.0,-1.0,908.0,True,False,False,False,False,False,True,False
False,0014_01,0.0,27.0,0.0,5.0,3.0,1.0,1638.2,False,False,True,False,True,False,False,False
False,0015_01,0.0,24.0,0.0,5.0,4.0,1.0,638.0,True,False,False,False,True,False,False,False
True,0016_01,1.0,45.0,0.0,5.0,5.0,1.0,0.0,False,False,True,False,False,False,True,False
True,0017_01,0.0,0.0,0.0,6.0,0.0,1.0,0.0,True,False,False,False,False,False,True,False
False,0017_02,0.0,14.0,0.0,5.0,6.0,1.0,1092.0,True,False,False,False,True,False,False,False
False,0020_01,1.0,1.0,0.0,4.0,0.0,0.0,0.0,True,False,False,False,False,False,True,False
False,0020_02,1.0,49.0,0.0,4.0,0.0,0.0,0.0,True,False,False,False,True,False,False,False
False,0020_03,1.0,29.0,0.0,4.0,0.0,0.0,0.0,True,False,False,False,True,False,False,False
True,0020_04,0.0,10.0,0.0,4.0,0.0,0.0,0.0,True,False,False,False,False,False,True,False
False,0020_05,1.0,1.0,0.0,4.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False
False,0020_06,0.0,7.0,0.0,4.0,0.0,0.0,0.0,True,False,False,False,False,False,True,False
False,0022_01,0.0,21.0,0.0,3.0,0.0,1.0,1051.0,False,False,True,False,False,False,True,False
True,0024_01,1.0,62.0,0.0,2.0,2.0,0.0,0.0,False,True,False,False,False,False,True,False
False,0025_01,0.0,15.0,0.0,5.0,6.0,0.0,1223.0,True,False,False,False,False,False,True,False
False,0026_01,0.0,34.0,0.0,2.0,0.0,1.0,7861.0,False,True,False,False,True,False,False,False
False,0028_01,0.0,43.0,0.0,5.0,8.0,1.0,1309.0,False,False,True,False,False,False,True,False
False,0030_01,0.0,32.0,0.0,6.0,4.0,0.0,1821.0,True,False,False,False,False,False,True,False
True,0031_01,0.0,47.0,0.0,5.0,9.0,1.0,2854.0,False,False,True,False,False,False,True,False
True,0031_02,0.0,2.0,0.0,5.0,9.0,1.0,0.0,False,False,True,False,False,False,True,False
True,0031_03,0.0,20.0,0.0,5.0,9.0,1.0,4146.6,False,False,True,False,False,False,True,False
True,0034_01,1.0,28.0,0.0,3.0,1.0,0.0,0.0,False,True,False,False,True,False,False,False
False,0035_01,0.0,23.0,0.0,3.0,1.0,1.0,2699.0,False,False,True,False,True,False,False,False
False,0036_01,0.0,15.0,0.0,5.0,8.0,0.0,961.0,True,False,False,False,True,False,False,False
False,0038_01,0.0,20.0,0.0,5.0,10.0,0.0,3355.0,True,False,False,False,True,False,False,False
False,0039_01,1.0,30.0,0.0,6.0,1.0,1.0,0.0,True,False,False,False,True,False,False,False
True,0041_01,1.0,17.0,0.0,6.0,2.0,1.0,0.0,True,False,False,False,False,False,True,False
False,0043_01,0.0,45.0,0.0,1.0,3.0,1.0,3575.0,False,True,False,False,False,False,True,False
False,0044_01,1.0,55.0,0.0,6.0,3.0,1.0,0.0,True,False,False,False,False,False,True,False
True,0044_02,1.0,4.0,0.0,6.0,3.0,1.0,0.0,True,False,False,False,True,False,False,False
True,0044_03,1.0,21.0,0.0,6.0,3.0,1.0,0.0,True,False,False,False,False,True,False,False
False,0045_01,0.0,21.0,0.0,5.0,10.0,1.0,1214.0,False,False,True,False,False,False,True,False
True,0045_02,1.0,19.0,0.0,5.0,10.0,1.0,0.0,False,False,True,False,False,False,False,True
False,0050_01,0.0,35.0,0.0,4.0,1.0,0.0,859.4,True,False,False,False,True,False,False,False
False,0051_01,0.0,56.0,0.0,4.0,2.0,0.0,1618.0,True,False,False,False,False,False,True,False
False,0052_01,0.0,38.6,0.0,6.0,6.0,0.0,4689.0,True,False,False,False,False,False,True,False
True,0053_01,0.0,25.0,0.0,5.0,11.0,0.0,1939.0,True,False,False,False,False,False,True,False
True,0056_01,0.0,2.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,True,False
True,0056_02,1.0,38.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,True,False
True,0056_03,0.0,27.0,0.0,0.0,1.0,0.0,4547.0,False,True,False,False,False,False,True,False
False,0058_01,1.0,36.0,0.0,6.0,7.0,0.0,0.0,True,False,False,False,False,True,False,False
False,0061_01,0.0,22.0,0.0,5.0,12.0,0.0,2667.0,True,False,False,False,False,False,True,False
False,0062_01,0.0,62.0,0.0,5.0,13.0,0.0,634.0,True,False,False,False,False,False,True,False
True,0064_01,1.0,15.0,0.0,5.0,14.0,0.0,0.0,False,False,True,False,False,False,True,False
